 2016-11-19 18:07:55,616 [P2856/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on THE-BEAST
 2016-11-19 18:07:55,632 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-11-19 18:07:55,641 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 8ms)
 2016-11-19 18:07:55,702 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-11-19 18:07:55,960 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 258ms)
 2016-11-19 18:07:55,973 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-11-19 18:07:55,977 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 3ms)
 2016-11-19 18:07:55,977 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-11-19 18:07:55,986 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 9ms)
 2016-11-19 18:07:55,998 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-11-19 18:07:56,006 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 7ms)
 2016-11-19 18:07:56,006 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-11-19 18:07:56,010 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 4ms)
 2016-11-19 18:07:56,043 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-11-19 18:07:56,052 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 8ms)
 2016-11-19 18:07:56,052 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-11-19 18:07:56,060 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 7ms)
 2016-11-19 18:07:56,860 [P2856/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-19 18:07:57,015 [P2856/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-19 18:07:57,019 [P2856/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-19 18:07:57,027 [P2856/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will build its caches and indexes, and then adjust its last synced Id to the latest found in the database and maintain cache updates based on that Id.
 2016-11-19 18:07:57,039 [P2856/D2/T1] INFO  umbraco.content - Load Xml from file...
 2016-11-19 18:07:57,039 [P2856/D2/T1] WARN  umbraco.content - Failed to load Xml, file does not exist.
 2016-11-19 18:07:57,040 [P2856/D2/T1] INFO  umbraco.content - Loading content from database...
 2016-11-19 18:07:57,372 [P2856/D2/T1] INFO  umbraco.content - Loading content from database...
 2016-11-19 18:07:57,432 [P2856/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-11-19 18:07:57,446 [P2856/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-11-19 18:07:57,446 [P2856/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-11-19 18:07:57,453 [P2856/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1920ms)
 2016-11-19 18:07:57,594 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-11-19 18:07:57,605 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 10ms)
 2016-11-19 18:07:57,777 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-11-19 18:07:57,782 [P2856/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 5ms)
 2016-11-19 18:07:58,068 [P2856/D2/T12] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:54263/umbraco (UmbracoModule request)
 2016-11-19 18:08:01,392 [P2856/D2/T13] INFO  umbraco.content - Save Xml to file...
 2016-11-19 18:08:01,399 [P2856/D2/T13] INFO  umbraco.content - Saved Xml to file.
 2016-11-19 18:08:10,352 [P2856/D2/T20] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
